позиция,модель товара (без цвета),объединённые SKU,количество цветов,общее количество проданных единиц,общая выручка,доля выручки %,накопительная доля %,ABC категория,средняя цена продажи,расчётная себестоимость (30%),валовая прибыль,маржа %
1,Шапка взрослая,"1040, 1041, 1131, 1145, 1163, 1189, 1204, 1226, 2126, 2142, 2167, 217, 218, 219, 221, 222, 223, 224, 225, 226, 228, 229, 231, 2317, 232, 235, 237, 238, 2387, 239, 240, 241, 242, 246, 2631, 2653, 274, 2850, 326, 327, 344, 346, 363, 372, 380, 483, 492, 493, 509, 533, 554, 558, 559, 560, 578, 579, 599, 748, 750, 751, 761, 833, 845, 846, 878, 881, 888, 893",68,1050.0,1212108.6,2.8712,2.8712,A,1154.39,363632.58,848476.02,70.0
2,Рубашка женская из тенсела,"1202, 1223, 1224, 2035, 2036, 2043, 2049, 2682, 2683, 2789",10,201.0,1002936.0,2.3757,5.247,A,4989.73,300880.8,702055.2,70.0
3,Джемпер чешуйки оверсайз,"1042, 1152, 1154, 1177, 1227, 1290, 2078, 2144, 2260, 2261",10,89.0,576574.0,1.3658,6.6127,A,6478.36,172972.2,403601.8,70.0
4,Джемпер женский грибочки,"1014, 1192, 2088, 2091, 2229, 2326, 2335, 2560, 2561, 2562, 2564, 983, 985",12,103.0,572722.0,1.3567,7.9694,A,5560.41,171816.6,400905.4,70.0
5,Футболка трикотажная косичка,"1273, 1274, 1275, 1276, 1285, 1333, 2085, 2086, 2087, 2290, 2462, 2481, 2482, 2487, 2497, 2498, 2523",17,232.0,560170.0,1.3269,9.2963,A,2414.53,168051.0,392119.0,70.0
6,Рубашка джинсовая женская,"1188, 1228, 1229, 2438",4,100.0,518723.9,1.2287,10.525,A,5187.24,155617.17,363106.73,70.0
7,Бомбер женский,"2067, 2071, 2073, 2084, 2123",5,40.0,491816.0,1.165,11.69,A,12295.4,147544.8,344271.2,70.0
8,Свитер кострома,"1091, 1107, 1122, 1124, 2139, 2160, 2284, 525, 526, 527, 531, 543, 777",13,129.0,462492.41,1.0955,12.7856,A,3585.21,138747.72,323744.69,70.0
9,Шапка взрослая шерсть,"1027, 1028, 1030, 1118, 2171, 2180, 2181, 2190, 2216, 2234, 2235, 2258, 244, 245, 2548, 2709, 2762, 322, 364, 365, 397, 737, 769, 778, 782, 786, 796, 809",28,287.0,446831.98,1.0584,13.844,A,1556.91,134049.59,312782.39,70.0
10,Шарф взрослый,"1026, 1031, 1034, 1087, 1143, 2108, 2109, 2127, 2159, 2350, 250, 252, 253, 254, 255, 256, 259, 260, 262, 264, 267, 2671, 270, 271, 272, 273, 2826, 391, 392, 393, 394, 395, 402, 422, 430, 561, 562, 607, 732",39,203.0,446327.0,1.0572,14.9013,A,2198.66,133898.1,312428.9,70.0
11,Тренч женский,"1022, 866, 891, 917, 992",5,44.0,432514.0,1.0245,15.9258,A,9829.86,129754.2,302759.8,70.0
12,Юбка мерилин из тенсела,"2724, 2734, 2735, 2736, 2748, 2863, 2864, 2865",8,57.0,430882.0,1.0207,16.9465,A,7559.33,129264.6,301617.4,70.0
