позиция в рейтинге,SKU,название товара,категория,количество продано,выручка,доля выручки %,накопительная доля %,ABC категория,средняя цена продажи,расчётная себестоимость (30%),валовая прибыль,маржа %
131,2566,Джемпер женский Софи лимонный,knitwear,13.0,74626.0,0.1768,36.6879,A,5740.46,22387.8,52238.2,70.0
132,2554,Брюки Спортик женские синий,pants,13.0,74586.0,0.1767,36.8645,A,5737.38,22375.8,52210.2,70.0
133,1290,Джемпер Чешуйки оверсайз хаки-лиловый,knitwear,11.0,74444.0,0.1763,37.0409,A,6767.64,22333.2,52110.8,70.0
134,2034,Джемпер мужской Грибочки лайм-маренго,knitwear,11.0,73840.0,0.1749,37.2158,A,6712.73,22152.0,51688.0,70.0
135,714,Брюки палаццо вискоза черный,pants,17.0,73570.0,0.1743,37.3901,A,4327.65,22071.0,51499.0,70.0
136,928,Джемпер Листочки двусторонний светло-желтый,knitwear,13.0,73400.0,0.1739,37.5639,A,5646.15,22020.0,51380.0,70.0
137,2651,Пальто-жакет женский утепленный шоко,outerwear,5.0,73200.0,0.1734,37.7373,A,14640.0,21960.0,51240.0,70.0
138,1176,Джемпер Листочки двусторонний оверсайз розовый,knitwear,11.0,72920.0,0.1727,37.91,A,6629.09,21876.0,51044.0,70.0
139,2724,Юбка Мерилин из тенсела белый,skirts,10.0,72734.0,0.1723,38.0823,A,7273.4,21820.2,50913.8,70.0
140,892,Тренч женский светлый беж,outerwear,7.0,71990.0,0.1705,38.2529,A,10284.29,21597.0,50393.0,70.0
141,1090,Свитер базовый шерсть алый,knitwear,18.0,71920.0,0.1704,38.4232,A,3995.56,21576.0,50344.0,70.0
142,2642,Блуза с воротом стойка из тенсела винный,tops_blouses,12.0,71625.0,0.1697,38.5929,A,5968.75,21487.5,50137.5,70.0
143,1048,Свитер базовый мужской джинс,pants,17.0,71400.0,0.1691,38.762,A,4200.0,21420.0,49980.0,70.0
144,403,Шарф взрослый брусника,accessories,31.0,70288.0,0.1665,38.9285,A,2267.35,21086.4,49201.6,70.0
145,2206,Брюки палаццо искусственный шелк винный,pants,15.0,70240.0,0.1664,39.0949,A,4682.67,21072.0,49168.0,70.0
146,2605,Пальто шерсятяное двубортное с поясом шоколад,outerwear,4.0,69750.0,0.1652,39.2601,A,17437.5,20925.0,48825.0,70.0
147,521,Шапка взрослая алый,accessories,60.0,69300.0,0.1642,39.4243,A,1155.0,20790.0,48510.0,70.0
148,88,Брюки трикотаж графит,pants,20.0,69170.0,0.1638,39.5881,A,3458.5,20751.0,48419.0,70.0
149,2494,Сарафан на бретелях муслин черный,dresses,9.0,68790.0,0.1629,39.7511,A,7643.33,20637.0,48153.0,70.0
150,1288,Рубашка женская из тенсела нежно-голубая в цветок,tops_blouses,15.0,68680.0,0.1627,39.9138,A,4578.67,20604.0,48076.0,70.0
151,2150,Юбка трикотажная прямая бургунди миди,skirts,20.0,68460.0,0.1622,40.0759,A,3423.0,20538.0,47922.0,70.0
152,848,Джемпер ромашки голубой,knitwear,14.0,68045.0,0.1612,40.2371,A,4860.36,20413.5,47631.5,70.0
153,2029,Жилет льняной синий,knitwear,16.0,67500.0,0.1599,40.397,A,4218.75,20250.0,47250.0,70.0
154,2325,Джемпер Незабудки женский шоколад с розовым,knitwear,12.0,66700.0,0.158,40.555,A,5558.33,20010.0,46690.0,70.0
155,1195,Юбка трикотаж А-силуэта тауп кукурузка,skirts,22.0,66510.0,0.1575,40.7126,A,3023.18,19953.0,46557.0,70.0
156,1107,Свитер Кострома изумруд,knitwear,18.0,66212.0,0.1568,40.8694,A,3678.44,19863.6,46348.4,70.0
157,2105,Кардиган Чешуйки жаккард полынь,knitwear,11.0,65980.0,0.1563,41.0257,A,5998.18,19794.0,46186.0,70.0
158,2217,Жакет с поясом искусственный шелк шоколад,jackets_blazers,15.0,65761.0,0.1558,41.1815,A,4384.07,19728.3,46032.7,70.0
159,1295,Юбка миди атлас шоколад леопард,skirts,19.0,65690.0,0.1556,41.3371,A,3457.37,19707.0,45983.0,70.0
160,2464,Платье трикотажное ажур Колоски макси липа,dresses,8.0,65288.0,0.1547,41.4917,A,8161.0,19586.4,45701.6,70.0
161,1331,Жилет джинсовый графит,pants,16.0,65142.8,0.1543,41.646,A,4071.43,19542.84,45599.96,70.0
162,2199,Платье Ариэль макси искусственный шелк шоколад,dresses,11.0,64439.0,0.1526,41.7987,A,5858.09,19331.7,45107.3,70.0
163,1317,Рубашка женская из тенсела молочная в цветок,tops_blouses,13.0,64230.0,0.1521,41.9508,A,4940.77,19269.0,44961.0,70.0
164,1166,Жилет Сердечки черный,knitwear,18.0,63640.0,0.1507,42.1016,A,3535.56,19092.0,44548.0,70.0
165,1178,Худи женское с капюшоном коралл,tops_blouses,14.0,63450.0,0.1503,42.2519,A,4532.14,19035.0,44415.0,70.0
166,2863,Юбка Мерилин из тенсела розовый,skirts,8.0,63304.0,0.15,42.4018,A,7913.0,18991.2,44312.8,70.0
167,2864,Юбка Мерилин из тенсела салатовый,skirts,8.0,62580.0,0.1482,42.5501,A,7822.5,18774.0,43806.0,70.0
168,2246,Манишка на завязках с воротом шерсть горький шоколад,accessories,16.0,62446.0,0.1479,42.698,A,3902.88,18733.8,43712.2,70.0
169,2338,Поло трикотажное алый с розовым,tops_blouses,17.0,62230.0,0.1474,42.8454,A,3660.59,18669.0,43561.0,70.0
170,1333,Футболка трикотажная косичка шоколад,tshirts_longsleeves,25.0,62120.0,0.1471,42.9925,A,2484.8,18636.0,43484.0,70.0
171,2865,Юбка Мерилин из тенсела сливочно-желтый,skirts,8.0,62088.0,0.1471,43.1396,A,7761.0,18626.4,43461.6,70.0
172,1177,Джемпер Чешуйки оверсайз серо-голубой,knitwear,10.0,61980.0,0.1468,43.2864,A,6198.0,18594.0,43386.0,70.0
173,2088,Джемпер женский Грибочки фиолетовый-лайм,knitwear,10.0,61870.0,0.1466,43.433,A,6187.0,18561.0,43309.0,70.0
174,1184,Худи женское с капюшоном травяной,tops_blouses,14.0,61660.0,0.1461,43.579,A,4404.29,18498.0,43162.0,70.0
175,2305,Джинсы-бананы изумруд,pants,10.0,61440.0,0.1455,43.7246,A,6144.0,18432.0,43008.0,70.0
176,9,Рубашка женская oversize фланель клетка орех,tops_blouses,14.0,61140.0,0.1448,43.8694,A,4367.14,18342.0,42798.0,70.0
177,2063,Юбка макси атлас индиго,skirts,20.0,61065.5,0.1447,44.0141,A,3053.28,18319.65,42745.85,70.0
178,1069,Рубашка женская oversize фланель клетка молочный,tops_blouses,14.0,60990.0,0.1445,44.1585,A,4356.43,18297.0,42693.0,70.0
