позиция в рейтинге,SKU,название товара,категория,количество продано,выручка,доля выручки %,накопительная доля %,ABC категория,средняя цена продажи,расчётная себестоимость (30%),валовая прибыль,маржа %
319,2147,Парка английская на шерстяной подкладке изумрудный,outerwear,4.0,40356.0,0.0956,60.7126,A,10089.0,12106.8,28249.2,70.0
320,1179,Худи женское с капюшоном мята,tops_blouses,9.0,40350.0,0.0956,60.8082,A,4483.33,12105.0,28245.0,70.0
321,2077,Кардиган Чешуйки жаккард шоколад,knitwear,7.0,40300.0,0.0955,60.9036,A,5757.14,12090.0,28210.0,70.0
322,756,Брюки палаццо вискоза песочный,pants,11.0,40250.0,0.0953,60.999,A,3659.09,12075.0,28175.0,70.0
323,2031,Брюки палаццо льняные синие,pants,7.0,40020.0,0.0948,61.0938,A,5717.14,12006.0,28014.0,70.0
324,1116,Подарочный сертификат 10 000,gift_cards,4.0,40000.0,0.0948,61.1885,A,10000.0,12000.0,28000.0,70.0
325,2064,Юбка макси атлас горчица,skirts,13.0,39907.0,0.0945,61.283,A,3069.77,11972.1,27934.9,70.0
326,2480,Поло трикотажное морская волна с молочным,tops_blouses,12.0,39834.0,0.0944,61.3774,A,3319.5,11950.2,27883.8,70.0
327,2169,Джемпер Джеки шерсть бежевый,knitwear,7.0,39680.0,0.094,61.4714,A,5668.57,11904.0,27776.0,70.0
328,786,Шапка взрослая шерсть красный,accessories,26.0,39669.0,0.094,61.5654,A,1525.73,11900.7,27768.3,70.0
329,2636,Брюки прямые утепленные тауп,pants,11.0,39540.0,0.0937,61.659,A,3594.55,11862.0,27678.0,70.0
330,1083,Свитер Кострома джинс,pants,11.0,39280.0,0.093,61.7521,A,3570.91,11784.0,27496.0,70.0
331,1130,Джемперу двусторонний Конфетки нефрит,other,8.0,39008.5,0.0924,61.8445,A,4876.06,11702.55,27305.95,70.0
332,2691,Кардиган Оверсайз интерлок шерсть красный,knitwear,5.0,38958.0,0.0923,61.9368,A,7791.6,11687.4,27270.6,70.0
333,1311,Юбка трикотажная в рубчик макси хаки,skirts,14.0,38868.0,0.0921,62.0288,A,2776.29,11660.4,27207.6,70.0
334,2481,Футболка трикотажная косичка липа,tshirts_longsleeves,18.0,38808.0,0.0919,62.1208,A,2156.0,11642.4,27165.6,70.0
335,1217,Футболка женская оверсайз с декором олива,tshirts_longsleeves,15.0,38767.0,0.0918,62.2126,A,2584.47,11630.1,27136.9,70.0
336,694,Шорты льняные морская волна,pants,9.0,38760.0,0.0918,62.3044,A,4306.67,11628.0,27132.0,70.0
337,2041,Рубашка женская хлопок голубая орнамент,tops_blouses,9.0,38680.0,0.0916,62.396,A,4297.78,11604.0,27076.0,70.0
338,1325,Брюки женские вискоза листья бежевый,pants,10.0,38672.0,0.0916,62.4876,A,3867.2,11601.6,27070.4,70.0
339,2139,Свитер Кострома полынь,knitwear,11.0,38650.0,0.0916,62.5792,A,3513.64,11595.0,27055.0,70.0
340,1135,Футболка мужская белый,tshirts_longsleeves,22.0,38581.5,0.0914,62.6706,A,1753.7,11574.45,27007.05,70.0
341,223,Шапка взрослая зефир,accessories,34.0,38496.0,0.0912,62.7618,A,1132.24,11548.8,26947.2,70.0
342,1055,Свитер с горлом ежевика,knitwear,16.0,38472.72,0.0911,62.8529,A,2404.55,11541.82,26930.9,70.0
343,2473,Рубашка женская из тенсела серая акварель,tops_blouses,7.0,38396.0,0.091,62.9438,A,5485.14,11518.8,26877.2,70.0
344,1326,Жилет льняной тауп,knitwear,9.0,38372.0,0.0909,63.0347,A,4263.56,11511.6,26860.4,70.0
345,1250,Футболка трикотажная графит,tshirts_longsleeves,15.0,38142.8,0.0904,63.1251,A,2542.85,11442.84,26699.96,70.0
346,1259,Футболка трикотаж манго,tshirts_longsleeves,15.0,38130.0,0.0903,63.2154,A,2542.0,11439.0,26691.0,70.0
347,2409,Юбка трикотажная ажур Бриз тауп,skirts,8.0,38070.0,0.0902,63.3056,A,4758.75,11421.0,26649.0,70.0
348,217,Шапка взрослая маренго,accessories,32.0,38000.0,0.09,63.3956,A,1187.5,11400.0,26600.0,70.0
349,1072,Свитер базовый шерсть оливка,knitwear,11.0,37964.0,0.0899,63.4855,A,3451.27,11389.2,26574.8,70.0
350,1180,Худи женское с капюшоном серый,tops_blouses,8.0,37780.0,0.0895,63.575,A,4722.5,11334.0,26446.0,70.0
351,2341,Кардиган с воротником на пуговицах молочный,knitwear,9.0,37700.0,0.0893,63.6643,A,4188.89,11310.0,26390.0,70.0
352,1260,Футболка трикотаж молочный oversize,tshirts_longsleeves,16.0,37526.0,0.0889,63.7532,A,2345.38,11257.8,26268.2,70.0
353,236,Шапка взрослая джинс,accessories,32.0,37476.0,0.0888,63.842,A,1171.12,11242.8,26233.2,70.0
354,868,Джемпер детский Ромашки черный,knitwear,12.0,37380.0,0.0885,63.9305,A,3115.0,11214.0,26166.0,70.0
355,255,Шарф взрослый маренго,accessories,17.0,37345.0,0.0885,64.019,A,2196.76,11203.5,26141.5,70.0
356,949,Джемпер Джаред оверсайз светлый лайм,knitwear,7.0,37340.0,0.0885,64.1075,A,5334.29,11202.0,26138.0,70.0
357,2557,Юбка Город синий графит макси,skirts,6.0,37296.0,0.0883,64.1958,A,6216.0,11188.8,26107.2,70.0
358,978,Юбка атласная миди черный,skirts,11.0,37210.0,0.0881,64.2839,A,3382.73,11163.0,26047.0,70.0
359,2193,Джемпер Агата шерсть бежевый,knitwear,7.0,37200.0,0.0881,64.3721,A,5314.29,11160.0,26040.0,70.0
360,1339,Платье Ирис из вискозы в цветок,dresses,8.0,37090.0,0.0879,64.4599,A,4636.25,11127.0,25963.0,70.0
361,2260,Джемпер Чешуйки оверсайз тауп-беж,knitwear,6.0,36720.0,0.087,64.5469,A,6120.0,11016.0,25704.0,70.0
362,2736,Юбка Мерилин из тенсела шоколад,skirts,5.0,36680.0,0.0869,64.6338,A,7336.0,11004.0,25676.0,70.0
363,2198,Платье Ариэль макси искусственный шелк черный,dresses,7.0,36655.0,0.0868,64.7206,A,5236.43,10996.5,25658.5,70.0
364,2602,Кардиган Оверсайз интерлок маренго,knitwear,5.0,36632.0,0.0868,64.8074,A,7326.4,10989.6,25642.4,70.0
365,1150,Джемпер Лисичка лайм,knitwear,7.0,36620.0,0.0867,64.8941,A,5231.43,10986.0,25634.0,70.0
366,2304,Кардиган с воротником на пуговицах светло-серый,knitwear,9.0,36580.0,0.0866,64.9808,A,4064.44,10974.0,25606.0,70.0
367,2626,Джемпер Авангард жаккард маренго-брусника,knitwear,7.0,36544.0,0.0866,65.0673,A,5220.57,10963.2,25580.8,70.0
368,245,Шапка взрослая шерсть голубой,accessories,22.0,36449.0,0.0863,65.1537,A,1656.77,10934.7,25514.3,70.0
369,2521,Брюки женские вискоза какао,pants,8.0,36400.0,0.0862,65.2399,A,4550.0,10920.0,25480.0,70.0
370,747,Пиджак вискоза песочный,jackets_blazers,6.0,36375.0,0.0862,65.3261,A,6062.5,10912.5,25462.5,70.0
371,2346,Юбка джинсовая макси графит,skirts,6.0,36288.0,0.086,65.412,A,6048.0,10886.4,25401.6,70.0
372,870,Джемпер детский Ромашки лаванда,knitwear,11.0,36260.0,0.0859,65.4979,A,3296.36,10878.0,25382.0,70.0
373,2202,Платье Агата мини велюр лайм,dresses,7.0,36230.0,0.0858,65.5837,A,5175.71,10869.0,25361.0,70.0
374,2505,Поло мужское трикотажное бежевый,tops_blouses,6.0,36216.0,0.0858,65.6695,A,6036.0,10864.8,25351.2,70.0
375,579,Шапка взрослая апельсин,accessories,32.0,36196.0,0.0857,65.7553,A,1131.12,10858.8,25337.2,70.0
376,2086,Футболка трикотажная косичка черный,tshirts_longsleeves,14.0,36165.0,0.0857,65.8409,A,2583.21,10849.5,25315.5,70.0
377,831,Платье интерлок макси черный,dresses,6.0,36110.0,0.0855,65.9265,A,6018.33,10833.0,25277.0,70.0
378,2741,Джемпер Бантики сливовый с байкалом,knitwear,6.0,36054.0,0.0854,66.0119,A,6009.0,10816.2,25237.8,70.0
379,2187,Юбка трикотажная прямая шерсть макси бургунди,skirts,8.0,36000.0,0.0853,66.0972,A,4500.0,10800.0,25200.0,70.0
380,2777,Брюки женские флисовые красный,pants,9.0,35980.0,0.0852,66.1824,A,3997.78,10794.0,25186.0,70.0
381,2714,Юбка из тафты мини черная,skirts,9.0,35952.0,0.0852,66.2675,A,3994.67,10785.6,25166.4,70.0
382,2243,Платье Ариэль макси искусственный шелк серебро,dresses,7.0,35920.0,0.0851,66.3526,A,5131.43,10776.0,25144.0,70.0
383,2315,Рубашка хлопок полынь,tops_blouses,9.0,35920.0,0.0851,66.4377,A,3991.11,10776.0,25144.0,70.0
384,2090,Джемпер Грибочки мужской полынь-лимон,knitwear,5.0,35860.0,0.0849,66.5227,A,7172.0,10758.0,25102.0,70.0
385,2278,Джемпер Агата красный,knitwear,7.0,35859.92,0.0849,66.6076,A,5122.85,10757.98,25101.94,70.0
386,2443,Лонгслив трикотажный ажур Листочки черный,tshirts_longsleeves,6.0,35720.0,0.0846,66.6922,A,5953.33,10716.0,25004.0,70.0
387,2570,Джемпер женский Софи пудра,knitwear,6.0,35650.0,0.0844,66.7767,A,5941.67,10695.0,24955.0,70.0
388,1300,Юбка трикотажная в рубчик макси фуксия,skirts,13.0,35640.0,0.0844,66.8611,A,2741.54,10692.0,24948.0,70.0
389,2386,Рубашка хлопок персиковый,tops_blouses,9.0,35560.0,0.0842,66.9453,A,3951.11,10668.0,24892.0,70.0
390,221,Шапка взрослая манго,accessories,28.0,35413.0,0.0839,67.0292,A,1264.75,10623.9,24789.1,70.0
391,2356,Юбка джинсовая макси зебра оливковая,skirts,6.0,35392.0,0.0838,67.113,A,5898.67,10617.6,24774.4,70.0
392,2618,Кардиган Зебра оверсайз жаккард черный с белым,knitwear,7.0,35265.0,0.0835,67.1966,A,5037.86,10579.5,24685.5,70.0
393,2368,Поло трикотажное алый с шоколадной полосой,tops_blouses,11.0,35200.0,0.0834,67.28,A,3200.0,10560.0,24640.0,70.0
394,1301,Джемпер в рубчик укороченный хаки,knitwear,15.0,35079.0,0.0831,67.3631,A,2338.6,10523.7,24555.3,70.0
395,2168,Косынка трикотажная шерсть молочный,accessories,12.0,34940.0,0.0828,67.4458,A,2911.67,10482.0,24458.0,70.0
396,1041,Шапка взрослая тауп,accessories,32.0,34836.0,0.0825,67.5283,A,1088.62,10450.8,24385.2,70.0
397,2208,Брюки палаццо искусственный шелк изумруд,pants,9.0,34770.0,0.0824,67.6107,A,3863.33,10431.0,24339.0,70.0
398,2372,Майка трикотажная V-вырез молочный,tops_blouses,17.0,34758.0,0.0823,67.693,A,2044.59,10427.4,24330.6,70.0
399,531,Свитер Кострома маренго,knitwear,10.0,34748.0,0.0823,67.7753,A,3474.8,10424.4,24323.6,70.0
400,2323,Джемпер Незабудки женский серый,knitwear,6.0,34640.0,0.0821,67.8574,A,5773.33,10392.0,24248.0,70.0
401,751,Шапка взрослая оранжевый,accessories,33.0,34636.0,0.082,67.9394,A,1049.58,10390.8,24245.2,70.0
402,2343,Кардиган трикотажный на завязках светло-желтый,knitwear,7.0,34614.0,0.082,68.0214,A,4944.86,10384.2,24229.8,70.0
403,2290,Футболка трикотажная косичка бургунди,tshirts_longsleeves,15.0,34577.0,0.0819,68.1033,A,2305.13,10373.1,24203.9,70.0
404,2107,Брюки палаццо вискоза корица в полоску,pants,8.0,34550.0,0.0818,68.1852,A,4318.75,10365.0,24185.0,70.0
405,235,Шапка взрослая электрик синий,accessories,29.0,34512.0,0.0818,68.2669,A,1190.07,10353.6,24158.4,70.0
406,2251,Джемпер Джеки интерлок бургунди,knitwear,7.0,34500.0,0.0817,68.3487,A,4928.57,10350.0,24150.0,70.0
407,486,Топ в рубчик V-вырез черный,tops_blouses,27.0,34488.7,0.0817,68.4304,A,1277.36,10346.61,24142.09,70.0
408,2314,Рубашка хлопок пыльно-голубой,tops_blouses,8.0,34440.0,0.0816,68.5119,A,4305.0,10332.0,24108.0,70.0
409,2610,Джемпер Джеки Нью интерлок тауп,knitwear,6.0,34410.0,0.0815,68.5934,A,5735.0,10323.0,24087.0,70.0
410,1240,Джемпер в рубчик укороченный лайм,knitwear,14.0,34242.5,0.0811,68.6746,A,2445.89,10272.75,23969.75,70.0
411,1308,Юбка трикотажная в рубчик макси жемчужный,skirts,11.0,34240.0,0.0811,68.7557,A,3112.73,10272.0,23968.0,70.0
412,2467,Юбка трикотажная ажур Листочки темный шоколад,skirts,6.0,34100.0,0.0808,68.8364,A,5683.33,10230.0,23870.0,70.0
413,2085,Футболка трикотажная косичка полынь,tshirts_longsleeves,14.0,34080.0,0.0807,68.9172,A,2434.29,10224.0,23856.0,70.0
414,2194,Юбка трикотажная прямая шерсть макси бежевый,skirts,8.0,34080.0,0.0807,68.9979,A,4260.0,10224.0,23856.0,70.0
415,1025,Джемпер Джаред оверсайз Байкал,knitwear,6.0,33774.0,0.08,69.0779,A,5629.0,10132.2,23641.8,70.0
416,254,Шарф взрослый красный,accessories,15.0,33774.0,0.08,69.1579,A,2251.6,10132.2,23641.8,70.0
417,2144,Джемпер Чешуйки оверсайз полынь,knitwear,5.0,33760.0,0.08,69.2379,A,6752.0,10128.0,23632.0,70.0
418,1159,Джемпер Сердечки лайм,knitwear,7.0,33666.0,0.0797,69.3176,A,4809.43,10099.8,23566.2,70.0
419,1341,Брюки палаццо льняные тауп,pants,6.0,32944.0,0.078,69.3957,A,5490.67,9883.2,23060.8,70.0
420,2390,Рубашка с коротким рукавом бежевая с незабудками,tops_blouses,8.0,32692.4,0.0774,69.4731,A,4086.55,9807.72,22884.68,70.0
421,2219,Жакет с поясом искусственный шелк винный,jackets_blazers,7.0,32670.0,0.0774,69.5505,A,4667.14,9801.0,22869.0,70.0
422,2115,Куртка стеганая женская фуксия круглый ворот,outerwear,6.0,32600.0,0.0772,69.6277,A,5433.33,9780.0,22820.0,70.0
423,642,Тельняшка тонкая фуксия,tshirts_longsleeves,31.0,32500.0,0.077,69.7047,A,1048.39,9750.0,22750.0,70.0
424,2220,Юбка трикотажная прямая тауп макси,skirts,9.0,32470.0,0.0769,69.7816,A,3607.78,9741.0,22729.0,70.0
425,2245,Юбка трикотажная прямая шерсть миди имбирь,skirts,8.0,32350.0,0.0766,69.8582,A,4043.75,9705.0,22645.0,70.0
426,2744,Джемпер Джеки Нью интерлок шерсть суровый,knitwear,5.0,32256.0,0.0764,69.9346,A,6451.2,9676.8,22579.2,70.0
427,2470,Брюки на завязках хлопок небесно-голубой,pants,6.0,32190.0,0.0763,70.0109,A,5365.0,9657.0,22533.0,70.0
428,2218,Жакет с поясом искусственный шелк изумруд,jackets_blazers,7.0,32130.0,0.0761,70.087,A,4590.0,9639.0,22491.0,70.0
429,543,Свитер Кострома шоколад,knitwear,10.0,32084.0,0.076,70.163,A,3208.4,9625.2,22458.8,70.0
430,2667,Джемпер Авангард жаккард оверсайз серо-голубой c синим,knitwear,5.0,31820.0,0.0754,70.2384,A,6364.0,9546.0,22274.0,70.0
431,2024,Платье лапшаV-вырез one size молочный,dresses,8.0,31710.0,0.0751,70.3135,A,3963.75,9513.0,22197.0,70.0
432,985,Джемпер женский Грибочки хаки-лайм,knitwear,6.0,31640.0,0.0749,70.3884,A,5273.33,9492.0,22148.0,70.0
433,2163,Платье интерлок макси джинс,dresses,5.0,31560.0,0.0748,70.4632,A,6312.0,9468.0,22092.0,70.0
434,2460,Майка трикотажная V-вырез светло-желтый,tops_blouses,15.0,31460.0,0.0745,70.5377,A,2097.33,9438.0,22022.0,70.0
435,2535,Палантин Баба-Яга,accessories,6.0,31430.0,0.0745,70.6122,A,5238.33,9429.0,22001.0,70.0
436,2475,Жилет джинсовый молочный леопард,pants,8.0,31332.0,0.0742,70.6864,A,3916.5,9399.6,21932.4,70.0
437,2479,Поло трикотажное горький шоколад с липовым,tops_blouses,9.0,31320.0,0.0742,70.7606,A,3480.0,9396.0,21924.0,70.0
438,678,Кардиган Leo жаккард розовый,knitwear,6.0,31280.0,0.0741,70.8347,A,5213.33,9384.0,21896.0,70.0
439,1182,Лонгслив трикотажный женский лосось,tshirts_longsleeves,17.0,31270.0,0.0741,70.9088,A,1839.41,9381.0,21889.0,70.0
440,1029,Шапка взрослая шерсть олива,accessories,19.0,31092.31,0.0737,70.9824,A,1636.44,9327.69,21764.62,70.0
441,2256,Брюки трикотаж шерсть горький шоколад,pants,6.0,31080.0,0.0736,71.056,A,5180.0,9324.0,21756.0,70.0
442,2082,Юбка лапша черный макси,skirts,9.0,30960.0,0.0733,71.1294,A,3440.0,9288.0,21672.0,70.0
443,2371,Майка трикотажная V-вырез серо-лавандовый,tops_blouses,15.0,30930.0,0.0733,71.2026,A,2062.0,9279.0,21651.0,70.0
444,525,Свитер Кострома орех,knitwear,9.0,30874.0,0.0731,71.2758,A,3430.44,9262.2,21611.8,70.0
445,874,Джемпер Ромашки маренго,knitwear,6.0,30810.0,0.073,71.3487,A,5135.0,9243.0,21567.0,70.0
446,791,Платье комбинация искуственный шелк голубой шк,dresses,8.0,30740.0,0.0728,71.4216,A,3842.5,9222.0,21518.0,70.0
447,68,Топ в рубчик V-вырез беж,tops_blouses,23.0,30664.0,0.0726,71.4942,A,1333.22,9199.2,21464.8,70.0
448,1227,Джемпер Чешуйки оверсайз джинс-байкал,pants,5.0,30660.0,0.0726,71.5668,A,6132.0,9198.0,21462.0,70.0
449,2631,Шапка взрослая сливовый,accessories,27.0,30640.0,0.0726,71.6394,A,1134.81,9192.0,21448.0,70.0
450,2081,Юбка лапша графит макси,skirts,9.0,30590.0,0.0725,71.7119,A,3398.89,9177.0,21413.0,70.0
451,688,Пиджак вискоза голубой,jackets_blazers,7.0,30498.0,0.0722,71.7841,A,4356.86,9149.4,21348.6,70.0
452,2302,Юбка плиссе трикотажная мини алый,skirts,11.0,30496.0,0.0722,71.8563,A,2772.36,9148.8,21347.2,70.0
453,1298,Джемпер Джаред оверсайз мятный,knitwear,6.0,30420.0,0.0721,71.9284,A,5070.0,9126.0,21294.0,70.0
454,2555,Лонгслив женский банановый,tshirts_longsleeves,9.0,30420.0,0.0721,72.0005,A,3380.0,9126.0,21294.0,70.0
455,869,Джемпер детский Ромашки зеленый,knitwear,11.0,30420.0,0.0721,72.0725,A,2765.45,9126.0,21294.0,70.0
456,2087,Футболка трикотажная косичка тауп,tshirts_longsleeves,13.0,30360.0,0.0719,72.1444,A,2335.38,9108.0,21252.0,70.0
457,931,Джемпер Листочки двусторонний розово-оранжевый,knitwear,6.0,30360.0,0.0719,72.2164,A,5060.0,9108.0,21252.0,70.0
458,237,Шапка взрослая серо-голубой,accessories,27.0,30290.0,0.0718,72.2881,A,1121.85,9087.0,21203.0,70.0
459,1337,Брюки палаццо льняные серо-голубой,pants,6.0,30276.0,0.0717,72.3598,A,5046.0,9082.8,21193.2,70.0
460,1276,Футболка трикотажная косичка олива,tshirts_longsleeves,12.0,30258.0,0.0717,72.4315,A,2521.5,9077.4,21180.6,70.0
461,2695,Блуза с воротом стойка из тенсела белый,tops_blouses,5.0,30225.0,0.0716,72.5031,A,6045.0,9067.5,21157.5,70.0
462,1140,Футболка мужская олива,tshirts_longsleeves,18.0,30134.9,0.0714,72.5745,A,1674.16,9040.47,21094.43,70.0
463,929,Джемпер Листочки двусторонний розово-серый,knitwear,6.0,30126.0,0.0714,72.6458,A,5021.0,9037.8,21088.2,70.0
464,2020,Свитер базовый шерсть орех,knitwear,7.0,29984.0,0.071,72.7169,A,4283.43,8995.2,20988.8,70.0
465,2528,Сарафан на бретелях вискоза какао,dresses,4.0,29880.0,0.0708,72.7876,A,7470.0,8964.0,20916.0,70.0
466,2159,Шарф взрослый бургунди,accessories,14.0,29780.0,0.0705,72.8582,A,2127.14,8934.0,20846.0,70.0
467,1305,Юбка трикотажная в рубчик макси черный,skirts,11.0,29730.0,0.0704,72.9286,A,2702.73,8919.0,20811.0,70.0
468,655,Тельняшка тонкая небесно-голубой,tshirts_longsleeves,17.0,29710.0,0.0704,72.999,A,1747.65,8913.0,20797.0,70.0
469,772,Кардиган Leo жаккард фиолет,knitwear,5.0,29680.0,0.0703,73.0693,A,5936.0,8904.0,20776.0,70.0
470,1330,Платье Ирис льняное зеленый,dresses,4.0,29605.0,0.0701,73.1394,A,7401.25,8881.5,20723.5,70.0
471,2313,Парка английская шерсть ореховая в клетку,outerwear,2.0,29600.0,0.0701,73.2095,A,14800.0,8880.0,20720.0,70.0
472,1258,Футболка трикотажная лайм oversize,tshirts_longsleeves,16.0,29598.0,0.0701,73.2796,A,1849.88,8879.4,20718.6,70.0
473,2756,Джемпер с конем бежевый,knitwear,5.0,29512.0,0.0699,73.3495,A,5902.4,8853.6,20658.4,70.0
474,2140,Юбка трикотажная прямая шерсть макси шоколад,skirts,7.0,29380.0,0.0696,73.4191,A,4197.14,8814.0,20566.0,70.0
475,1078,Джемпер Лайт шерсть голубой,knitwear,10.0,29200.0,0.0692,73.4883,A,2920.0,8760.0,20440.0,70.0
476,2728,Кардиган Авангард жаккард маренго-слива,knitwear,4.0,29170.0,0.0691,73.5574,A,7292.5,8751.0,20419.0,70.0
477,2247,Манишка на завязках с воротом шерсть фрезия,accessories,9.0,29110.0,0.069,73.6264,A,3234.44,8733.0,20377.0,70.0
478,2040,Рубашка женская вискоза в голубой цветок,tops_blouses,8.0,29060.0,0.0688,73.6952,A,3632.5,8718.0,20342.0,70.0
479,234,Шапка взрослая травяной,accessories,26.0,29036.0,0.0688,73.764,A,1116.77,8710.8,20325.2,70.0
480,1219,Лонгслив трикотажный женский алый,tshirts_longsleeves,15.0,29030.0,0.0688,73.8327,A,1935.33,8709.0,20321.0,70.0
481,2225,Жакет с поясом велюр шоколад,jackets_blazers,6.0,28900.0,0.0685,73.9012,A,4816.67,8670.0,20230.0,70.0
482,2123,Бомбер женский серо-голубой,outerwear,2.0,28860.0,0.0684,73.9696,A,14430.0,8658.0,20202.0,70.0
483,2523,Футболка трикотажная косичка капучино,tshirts_longsleeves,12.0,28780.0,0.0682,74.0377,A,2398.33,8634.0,20146.0,70.0
484,1129,Джемпер двусторонний Конфетки розовый0,knitwear,6.0,28550.0,0.0676,74.1054,A,4758.33,8565.0,19985.0,70.0
485,495,Джемпер Лайт шерсть молочный,knitwear,9.0,28378.0,0.0672,74.1726,A,3153.11,8513.4,19864.6,70.0
486,2720,Джемпер Бантики сливовый с пудрой,knitwear,5.0,28210.0,0.0668,74.2394,A,5642.0,8463.0,19747.0,70.0
487,649,Тельняшка тонкая зеленый,tshirts_longsleeves,22.0,28210.0,0.0668,74.3062,A,1282.27,8463.0,19747.0,70.0
488,2340,Кардиган с воротником на пуговицах алый,knitwear,6.0,28170.0,0.0667,74.373,A,4695.0,8451.0,19719.0,70.0
489,930,Джемпер Листочки двусторонний жемчужно-зеленый,knitwear,5.0,28100.0,0.0666,74.4395,A,5620.0,8430.0,19670.0,70.0
490,1194,Юбка трикотаж А-силуэта олива кукурузка,skirts,11.0,28060.0,0.0665,74.506,A,2550.91,8418.0,19642.0,70.0
491,497,Свитер с горлом лиловый,knitwear,13.0,27991.02,0.0663,74.5723,A,2153.16,8397.31,19593.71,70.0
492,2065,Юбка макси атлас графит,skirts,8.0,27740.0,0.0657,74.638,A,3467.5,8322.0,19418.0,70.0
493,1296,Джемпер детский Ромашки морская волна - молочным,knitwear,8.0,27732.0,0.0657,74.7037,A,3466.5,8319.6,19412.4,70.0
494,2633,Костюм домашний женский Хоум розовый меланж,suits,8.0,27720.0,0.0657,74.7694,A,3465.0,8316.0,19404.0,70.0
495,2205,Платье Агата мини искусственный шелк черный,dresses,6.0,27620.0,0.0654,74.8348,A,4603.33,8286.0,19334.0,70.0
496,2824,Джемпер Кувшинки серый меланж-мята,knitwear,5.0,27620.0,0.0654,74.9002,A,5524.0,8286.0,19334.0,70.0
497,1030,Шапка взрослая шерсть орех,accessories,18.0,27560.0,0.0653,74.9655,A,1531.11,8268.0,19292.0,70.0
498,1239,Джемпер в рубчик укороченный лиловый,knitwear,11.0,27515.0,0.0652,75.0307,A,2501.36,8254.5,19260.5,70.0
499,1309,Юбка трикотажная в рубчик макси лимонный,skirts,9.0,27460.0,0.065,75.0957,A,3051.11,8238.0,19222.0,70.0
500,2723,Палантин трикотажный Рыбка горький шоколад с капучино,accessories,7.0,27450.0,0.065,75.1607,A,3921.43,8235.0,19215.0,70.0
501,2509,Брюки Лето женские вискоза синий с молочным,pants,7.0,27364.0,0.0648,75.2256,A,3909.14,8209.2,19154.8,70.0
502,1222,Джемпер Джаред оверсайз лайм,knitwear,5.0,27180.0,0.0644,75.2899,A,5436.0,8154.0,19026.0,70.0
503,2594,Пальто-жакет женский морковный в клетку,outerwear,2.0,27084.0,0.0642,75.3541,A,13542.0,8125.2,18958.8,70.0
504,73,Топ в рубчик V-вырез хаки,tops_blouses,19.0,27076.7,0.0641,75.4182,A,1425.09,8123.01,18953.69,70.0
505,2389,Платье Одри макси черный ворот стойка,dresses,4.0,27000.0,0.064,75.4822,A,6750.0,8100.0,18900.0,70.0
506,2632,Костюм домашний женский Хоум голубой меланж,suits,8.0,27000.0,0.064,75.5462,A,3375.0,8100.0,18900.0,70.0
507,1237,Джемпер в рубчик укороченный мята,knitwear,11.0,26933.0,0.0638,75.61,A,2448.45,8079.9,18853.1,70.0
508,2244,Юбка трикотажная прямая шерсть макси имбирь,skirts,7.0,26860.0,0.0636,75.6736,A,3837.14,8058.0,18802.0,70.0
509,2758,Джемпер с конем черный,knitwear,5.0,26840.0,0.0636,75.7372,A,5368.0,8052.0,18788.0,70.0
510,977,Юбка миди атласная медь,skirts,8.0,26750.0,0.0634,75.8005,A,3343.75,8025.0,18725.0,70.0
511,2170,Джемпер Алиса шерсть горький шоколад,knitwear,5.0,26660.0,0.0632,75.8637,A,5332.0,7998.0,18662.0,70.0
512,2192,Джемпер Агата шерсть темный маренго,knitwear,5.0,26660.0,0.0632,75.9268,A,5332.0,7998.0,18662.0,70.0
513,2491,Блуза бохо из тенсела горох молочно-ореховый,tops_blouses,5.0,26650.0,0.0631,75.99,A,5330.0,7995.0,18655.0,70.0
514,1265,Тельняшка тонкая розово-красный,tshirts_longsleeves,15.0,26600.0,0.063,76.053,A,1773.33,7980.0,18620.0,70.0
515,224,Шапка взрослая пудра,accessories,23.0,26600.0,0.063,76.116,A,1156.52,7980.0,18620.0,70.0
516,2028,Брюки женские вискоза серо-голубые,pants,7.0,26550.0,0.0629,76.1789,A,3792.86,7965.0,18585.0,70.0
517,2316,Свитер базовый мужской маренго,knitwear,6.0,26490.0,0.0627,76.2416,A,4415.0,7947.0,18543.0,70.0
518,802,Шарф взрослый алый,accessories,12.0,26420.0,0.0626,76.3042,A,2201.67,7926.0,18494.0,70.0
519,220,Шапка взрослая горчица,accessories,20.0,26260.0,0.0622,76.3664,A,1313.0,7878.0,18382.0,70.0
520,230,Шапка взрослая олива,accessories,23.0,26080.0,0.0618,76.4282,A,1133.91,7824.0,18256.0,70.0
521,1242,Брюки палаццо вискоза красный,pants,7.0,26030.36,0.0617,76.4898,A,3718.62,7809.11,18221.25,70.0
522,1047,Шарф взрослый шерсть орех,accessories,9.0,25860.0,0.0613,76.5511,A,2873.33,7758.0,18102.0,70.0
523,2149,Джемпер Aлиса с круглым воротом бургунди,knitwear,5.0,25800.0,0.0611,76.6122,A,5160.0,7740.0,18060.0,70.0
524,2490,Брюки женские вискоза тауп,pants,6.0,25800.0,0.0611,76.6733,A,4300.0,7740.0,18060.0,70.0
525,2236,Шарф взрослый шерсть бежевый,accessories,8.0,25768.0,0.061,76.7344,A,3221.0,7730.4,18037.6,70.0
526,919,Пиджак вискоза красный,jackets_blazers,5.0,25670.0,0.0608,76.7952,A,5134.0,7701.0,17969.0,70.0
