model_name,category,product_styles_count,combined_skus,colors_count,dominant_color,dominant_color_revenue_share_pct,qty_sold_24m,revenue_24m,revenue_share_pct,avg_realized_price_24m,estimated_cogs_24m,gross_profit_24m,margin_pct,qty_sold_12m,revenue_12m,active_months_24m,monthly_cv_pct,xyz_class,abc_class,abc_xyz_class,current_stock_qty,stock_cover_days_est_12m,stock_status,portfolio_role,recommended_action,action_note,current_sale_price_avg,cumulative_revenue_share_pct
Бомбер женский серый с трикотажными резинками,outerwear,1,2573,1,серый,100.0,13.0,167820.0,0.3975,12909.23,50346.0,117474.0,70.0,13.0,167820.0,5,238.21,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",10360.0,45.6625
Пальто стеганое женское,outerwear,2,"2117, 2121",2,шоколадный,63.57,18.0,164824.0,0.3904,9156.89,49447.2,115376.8,70.0,11.0,76540.0,9,168.87,Y,A,AY,2.0,66.4,balanced,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6800.0,47.231
Джемпер листочки двусторонний,knitwear,5,"929, 930, 931, 932, 981",5,маренго-бежевый,31.5,30.0,163566.0,0.3875,5452.2,49069.8,114496.2,70.0,2.0,9486.0,11,162.92,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",,47.6185
Топ в рубчик v-вырез,tops_blouses,11,"1334, 2021, 2894, 2895, 486, 63, 66, 70, 72, 73, 93",10,белый,26.64,120.0,162454.6,0.3848,1353.79,48736.38,113718.22,70.0,49.0,47997.5,23,82.02,X,A,AX,14.0,104.3,balanced,repeat_core,protect_and_repeat,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,1900.0,48.0033
Джемпер джеки шерсть,knitwear,6,"1075, 2138, 2162, 2169, 2227, 826",6,имбирь,35.97,30.0,161154.0,0.3817,5371.8,48346.2,112807.8,70.0,3.0,15860.0,7,202.98,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6900.0,48.7692
Куртка стеганая женская графит,outerwear,1,2099,1,серый графит,100.0,21.0,159718.0,0.3783,7605.62,47915.4,111802.6,70.0,9.0,63768.0,9,141.18,X,A,AX,0.0,,stockout,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,,49.1475
Джемпер листочки двусторонний оверсайз,knitwear,2,"1176, 1201",2,лаймово-розовый,54.22,24.0,159280.0,0.3773,6636.67,47784.0,111496.0,70.0,5.0,29080.0,15,106.41,X,A,AX,0.0,,stockout,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,,49.5248
Парка английская на меховой подкладке,outerwear,2,"2281, 2312",2,графит,67.48,15.0,156016.0,0.3696,10401.07,46804.8,109211.2,70.0,7.0,71456.0,7,205.59,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",11200.0,50.6439
Пиджак вискоза,jackets_blazers,6,"688, 744, 745, 746, 747, 919",6,черный,33.69,28.0,155161.0,0.3675,5541.46,46548.3,108612.7,70.0,1.0,4485.0,10,175.59,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6417.0,51.0114
Джемпер незабудки женский беж,knitwear,1,1211,1,светлый беж,100.0,27.0,150678.0,0.3569,5580.67,45203.4,105474.6,70.0,6.0,36580.0,14,109.81,X,A,AX,1.0,60.8,balanced,repeat_core,protect_and_repeat,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,6600.0,51.3683
Жилет сердечки,knitwear,2,"1144, 1166",2,розово-красный,57.26,42.0,148910.02,0.3527,3545.48,44673.01,104237.01,70.0,0.0,0.0,8,196.72,Y,A,AY,0.0,,no_signal,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",4200.0,51.7211
Бомбер женский тауп с трикотажными резинками,outerwear,1,2574,1,тауп,100.0,11.0,146372.0,0.3467,13306.55,43911.6,102460.4,70.0,11.0,146372.0,4,314.79,Z,A,AZ,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная по выручке, но нестабильная модель: использовать как fashion-driver с ограниченным риском.",10360.0,52.0678
Бомбер женский морковный в клетку,outerwear,1,2069,1,оранжевый,100.0,12.0,146064.0,0.346,12172.0,43819.2,102244.8,70.0,4.0,42480.0,8,152.75,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",14800.0,52.4138
Джемпер женский грибочки травяной,knitwear,1,2228,1,зефирно-травяной,100.0,23.0,138754.0,0.3287,6032.78,41626.2,97127.8,70.0,12.0,71260.0,11,152.05,Y,A,AY,2.0,60.8,balanced,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6600.0,54.4414
Тельняшка тонкая,tshirts_longsleeves,12,"1256, 1263, 1264, 1265, 1266, 1267, 659, 852, 854, 937, 938, 939",12,розово-красный,20.08,78.0,132500.0,0.3139,1698.72,39750.0,92750.0,70.0,40.0,42030.0,18,123.8,X,A,AX,0.0,,stockout,repeat_core,replenish_and_scale,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,,55.0744
Куртка стеганая женская шоколад,outerwear,1,2102,1,горький шоколад,100.0,17.0,131354.0,0.3111,7726.71,39406.2,91947.8,70.0,4.0,30854.0,8,232.26,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6500.0,55.3855
Джемпер незабудки женский желтый,knitwear,1,1199,1,светло-желтый,97.02,24.0,130798.0,0.3098,5449.92,39239.4,91558.6,70.0,7.0,40480.0,9,186.09,Y,A,AY,-1.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6600.0,55.6953
